#{"t_start": 1784985745.947574, "env_id": "None"}
r,l,t,success,caught_by_robot_2,caught_by_robot_1,forced_release_robot_1,forced_release_robot_2
52.057936,634,387.747603,False,True,False,False,False
-31.519898,292,388.190537,False,False,False,False,False
-28.265426,357,388.744453,False,False,False,False,False
-26.536959,304,389.210569,False,False,False,False,False
-25.87119,304,389.873266,False,False,False,False,False
-48.103715,359,390.428697,False,False,False,False,False
53.011886,662,391.445026,False,True,False,False,False
-25.840213,301,391.91498,False,False,False,False,False
-23.535665,338,392.459268,False,False,False,False,False
-22.03632,318,392.943819,False,False,False,False,False
53.931345,659,393.956931,False,True,False,False,False
75.998776,769,395.159523,False,True,False,False,False
52.704822,638,396.340289,False,True,False,False,False
-31.357318,296,396.78755,False,False,False,False,False
52.00405,635,397.762628,False,True,False,False,False
51.275048,683,398.845558,False,True,False,False,False
-27.67037,359,399.41283,False,False,False,False,False
-27.284754,360,399.972397,False,False,False,False,False
-27.215723,358,400.524221,False,False,False,False,False
-22.401674,316,401.005432,False,False,False,False,False
-28.062724,360,401.559499,False,False,False,False,False
53.097545,658,402.760748,False,True,False,False,False
-35.953618,361,403.318921,False,False,False,False,False
-23.970002,343,403.843121,False,False,False,False,False
-38.166168,365,404.40685,False,False,False,False,False
51.307137,681,405.485268,False,True,False,False,False
-22.738296,315,405.96268,False,False,False,False,False
-27.488275,360,406.529429,False,False,False,False,False
54.417981,661,407.535612,False,True,False,False,False
-26.068289,403,408.158406,False,False,False,False,False
-26.847783,304,408.620254,False,False,False,False,False
-25.893196,304,409.273249,False,False,False,False,False
-34.9101,365,409.839646,False,False,False,False,False
-27.845824,364,410.398884,False,False,False,False,False
51.692128,643,411.386044,False,True,False,False,False
51.413319,639,412.419185,False,True,False,False,False
-26.523575,305,412.892919,False,False,False,False,False
53.488464,655,413.89407,False,True,False,False,False
52.504675,637,414.926175,False,True,False,False,False
53.217162,655,416.13383,False,True,False,False,False
-23.458426,316,416.618844,False,False,False,False,False
-21.919892,318,417.108437,False,False,False,False,False
-24.210831,344,417.639407,False,False,False,False,False
-27.203,358,418.195379,False,False,False,False,False
51.652703,644,419.250481,False,True,False,False,False
-31.347479,298,419.70595,False,False,False,False,False
-50.391493,359,420.263495,False,False,False,False,False
-22.683067,338,420.783835,False,False,False,False,False
-22.569171,331,421.305303,False,False,False,False,False
-36.528584,363,421.866092,False,False,False,False,False
-26.399064,307,422.530542,False,False,False,False,False
53.117202,655,423.540758,False,True,False,False,False
53.667538,657,424.573722,False,True,False,False,False
53.225584,653,425.624489,False,True,False,False,False
-38.111827,361,426.182321,False,False,False,False,False
51.974269,640,427.166708,False,True,False,False,False
-25.091924,346,427.715705,False,False,False,False,False
-27.388957,362,428.275053,False,False,False,False,False
53.994541,654,429.483402,False,True,False,False,False
-24.270611,343,430.018584,False,False,False,False,False
-24.537826,345,430.567321,False,False,False,False,False
-27.317707,357,431.118318,False,False,False,False,False
-22.284011,315,431.621376,False,False,False,False,False
-23.670312,341,432.161793,False,False,False,False,False
-27.096641,359,432.717502,False,False,False,False,False
50.605586,652,433.734166,False,True,False,False,False
54.282504,661,434.755502,False,True,False,False,False
-25.752279,305,435.226124,False,False,False,False,False
52.600024,644,436.418431,False,True,False,False,False
-26.123135,305,436.884264,False,False,False,False,False
52.674095,645,437.893189,False,True,False,False,False
-27.402597,360,438.447411,False,False,False,False,False
51.672197,637,439.489071,False,True,False,False,False
-25.179369,306,439.957887,False,False,False,False,False
98.076251,723,441.092461,False,True,False,False,False
51.634648,657,442.302384,False,True,False,False,False
