#{"t_start": 1784893584.981098, "env_id": "None"}
r,l,t
118.102002,363,93.137514
17.924732,350,93.274783
18.420991,358,93.453309
17.924732,350,93.575173
18.420991,358,93.699926
16.915316,318,93.856991
13.423735,268,93.948066
16.003361,298,94.048982
14.291304,283,94.19316
18.40536,352,94.314765
18.420991,358,94.438463
118.102002,363,94.632474
17.755907,337,94.754054
18.40536,352,94.888335
16.915316,318,95.06044
14.895791,294,95.166326
18.760608,361,95.293489
18.40536,352,95.464409
17.924732,350,95.586109
17.755907,337,95.701496
12.436382,252,95.834519
18.420991,358,95.961624
17.924732,350,96.083852
18.760608,361,96.254792
17.15267,336,96.371977
18.420991,358,96.495981
18.760608,361,96.666867
17.924732,350,96.789006
18.760608,361,96.913376
17.15267,336,97.076251
14.895791,294,97.176895
118.102002,363,97.302406
18.40536,352,98.345353
14.291304,283,98.442322
17.924732,350,98.564543
14.895791,294,98.665119
16.347271,321,98.839785
14.291304,283,98.942719
118.102002,363,99.068798
17.924732,350,99.238019
17.755907,337,99.35375
18.760608,361,99.477709
16.915316,318,99.65094
18.420991,358,99.789828
15.597335,307,99.906492
18.420991,358,100.096259
17.924732,350,100.21933
17.15267,336,100.338169
118.102002,363,100.513455
18.40536,352,100.636251
17.924732,350,100.758606
17.924732,350,100.947605
18.420991,358,101.072636
14.895791,294,101.174002
9.289195,267,101.315339
16.347271,321,101.426149
16.003361,298,101.527521
16.347271,321,101.685414
18.420991,358,101.809263
18.420991,358,101.93369
18.760608,361,102.114912
18.420991,358,102.256402
13.829474,275,102.364277
18.420991,358,102.547836
118.102002,363,102.674494
16.915316,318,102.784459
18.40536,352,102.953411
17.755907,337,103.069415
18.420991,358,103.194499
18.760608,361,103.369405
17.924732,350,103.491518
118.102002,363,103.6176
118.102002,363,103.791304
16.915316,318,103.901319
18.40536,352,104.024131
18.40536,352,104.211594
118.102002,363,104.337464
15.361798,280,104.43258
118.102002,363,104.606242
118.102002,363,104.732964
14.895791,294,104.833431
17.15267,336,105.00428
12.876169,259,105.098312
16.347271,321,105.230356
118.102002,363,105.418014
18.760608,361,105.544141
17.924732,350,105.667247
18.40536,352,105.837732
18.420991,358,105.961941
18.420991,358,106.085803
118.102002,363,106.259414
18.760608,361,107.383662
114.101423,267,107.474551
13.829474,275,107.630626
18.40536,352,107.753273
14.895791,294,107.85357
17.15267,336,108.016385
14.895791,294,108.116925
18.40536,352,108.23852
17.755907,337,108.401568
17.924732,350,108.523144
18.420991,358,108.647162
18.40536,352,108.815477
118.102002,363,108.940966
18.420991,358,109.064431
16.915316,318,109.22146
17.15267,336,109.337787
18.760608,361,109.461824
18.420991,358,109.633256
118.102002,363,109.760511
18.40536,352,109.881634
17.924732,350,110.051455
18.40536,352,110.172716
118.102002,363,110.300056
18.760608,361,110.472476
12.327028,250,110.557292
18.40536,352,110.67817
18.40536,352,110.851324
18.40536,352,110.99575
17.924732,350,111.127149
16.003361,298,111.279638
17.15267,336,111.398952
15.361798,280,111.494407
118.102002,363,111.667372
18.40536,352,111.788905
16.003361,298,111.906028
15.361798,280,112.001352
18.760608,361,112.173542
118.102002,363,112.299292
16.915316,318,112.408581
12.512201,253,112.542425
12.327028,250,112.627762
18.760608,361,112.751925
16.915316,318,112.91439
15.361798,280,113.014672
16.003361,298,113.123208
16.347271,321,113.301215
118.102002,363,113.427243
17.755907,337,113.54398
18.760608,361,113.71651
17.15267,336,113.832971
18.40536,352,113.954289
17.755907,337,114.118622
12.436382,252,114.204485
118.102002,363,114.33004
12.688759,256,114.416765
18.760608,361,114.595049
17.924732,350,114.722864
114.101423,267,114.825625
118.102002,363,115.006362
118.102002,363,115.1325
18.40536,352,115.253776
18.40536,352,116.313156
17.755907,337,116.429953
18.760608,361,116.555124
17.755907,337,116.728299
17.755907,337,116.852076
18.760608,361,116.999559
16.915316,318,117.156208
16.347271,321,117.268608
18.760608,361,117.393493
18.420991,358,117.564871
16.915316,318,117.674405
18.420991,358,117.799167
17.924732,350,117.96853
118.102002,363,118.093968
18.40536,352,118.21816
18.420991,358,118.400174
18.40536,352,118.530688
18.420991,358,118.703285
17.924732,350,118.85462
18.420991,358,118.984021
15.597335,307,119.138413
18.40536,352,119.262484
118.102002,363,119.389424
118.102002,363,119.564144
118.102002,363,119.693037
17.15267,336,119.810604
17.15267,336,119.974791
17.15267,336,120.093977
17.15267,336,120.217154
18.760608,361,120.408627
118.102002,363,120.543508
15.597335,307,120.650419
15.597335,307,120.807152
118.102002,363,120.952428
16.915316,318,121.06252
18.760608,361,121.235486
17.15267,336,121.353275
18.420991,358,121.47861
16.915316,318,121.637388
18.420991,358,121.763049
118.102002,363,121.889351
118.102002,363,122.062175
18.420991,358,122.191223
18.760608,361,122.32476
18.420991,358,122.511342
16.347271,321,122.625096
18.420991,358,122.749984
114.101423,267,122.888262
17.15267,336,123.005825
18.760608,361,123.131073
17.15267,336,123.297041
17.924732,350,123.419301
18.420991,358,123.546375
18.40536,352,123.723978
17.755907,337,123.840765
18.40536,352,123.962546
18.760608,361,124.154122
17.924732,350,125.449445
18.420991,358,125.576109
16.347271,321,125.735351
118.102002,363,125.862027
17.15267,336,125.980062
118.102002,363,126.154738
18.420991,358,126.280217
18.420991,358,126.406316
18.40536,352,126.576979
118.102002,363,126.703754
118.102002,363,126.841536
17.924732,350,127.016119
18.40536,352,127.13847
18.40536,352,127.26079
18.420991,358,127.432808
18.420991,358,127.558505
18.760608,361,127.735297
17.924732,350,127.866639
18.760608,361,128.005222
